dataset,backbone,strategy,node_drop_rate,accuracy,std,dropped_nodes_mean,observed_train_nodes_mean,sampled_recovered_nodes_mean,successful_recovered_nodes_mean,semantic_added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,added_edges_per_active_node_mean,added_edges_over_sparse_edges_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,cluster_time_sec_mean,num_runs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha,cluster_count,support_size,support_internal_edges
Cora,gat,ours_adaptive,0.95,0.7336666981379191,0.017249788556367284,127.0,13.0,63.0,63.0,215.66666666666666,0.14815976645562265,0.38095238095238093,3.4232804232804237,0.08156833081190117,0.04534933004281516,0.010796533276637396,0.7461723666638136,0.756968899940451,50.466959635416664,0.0,3,10,0.5,10,0.0,7,10,2
Cora,gat,inverse_adaptive,0.95,0.7536666989326477,0.008576464370509058,127.0,13.0,63.0,63.0,229.0,0.1395245403629104,0.38095238095238093,3.634920634920635,0.08661119515885024,0.04815288042956258,0.010031233308836818,0.7209528333041817,0.7309840666130185,50.493326822916664,0.0,3,10,0.5,10,0.0,7,10,2
Cora,gat,global_active_knn,0.95,0.7343333760897318,0.007845734303475523,127.0,13.0,63.0,63.0,19946.666666666668,0.0032253563228148117,0.6031746031746031,316.6137566137566,7.544125063035804,4.194294521187802,0.14392323341841498,0.8868629999924451,1.0307862334108602,108.54459635416667,0.0,3,10,0.5,10,0.0,7,10,2
Cora,gat,cluster_active_knn,0.95,0.7270000179608663,0.0014142234528335457,127.0,13.0,63.0,63.0,20290.666666666668,0.002596985041508787,0.4708994708994709,322.0740740740741,7.67423096318709,4.266628374420772,2.0558630666540316,0.8907744666406264,2.9466375332946577,110.21809895833333,0.7598831999736527,3,10,0.5,10,0.0,7,10,2
Cora,gat,gat_llm_sparse,0.95,0.5796666840712229,0.06209849085652247,127.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9395789334084839,1.9395789334084839,229.17626953125,0.0,3,10,0.5,10,0.0,7,10,2
PubMed,gat,ours_adaptive,0.95,0.7783333659172058,0.01673984263579612,57.0,3.0,28.0,28.0,106.66666666666667,0.08738482585834612,0.2976190476190476,3.8095238095238098,0.005417851821752674,0.002420225010839168,0.04572923334004978,2.2731304667734853,2.318859700113535,267.47119140625,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,gat,inverse_adaptive,0.95,0.7733333706855774,0.016357144911120513,57.0,3.0,28.0,28.0,107.0,0.0871252204585538,0.2976190476190476,3.8214285714285716,0.005434782608695653,0.002427788735217051,0.03827459993772209,2.3019541333584734,2.3402287332961955,267.4718424479167,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,gat,global_active_knn,0.95,0.7636667092641195,0.014522023532135444,57.0,3.0,28.0,28.0,147124.66666666666,0.0001268762544718206,0.5,5254.452380952381,7.472809156169578,3.3382040660508703,2.161153700047483,4.997406433414047,7.15856013346153,702.7233072916666,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,gat,cluster_active_knn,0.95,0.7613333861033121,0.02468918509225139,57.0,3.0,28.0,28.0,148405.33333333334,0.00012805304520791645,0.48809523809523814,5300.190476190476,7.537857239604496,3.367262168524464,83.20102606667206,5.228606699965894,88.42963276663795,705.7047526041666,0.12056829997648795,3,10,0.5,10,0.0,3,10,2
PubMed,gat,gat_llm_sparse,0.95,0.47433335582415265,0.1166200159152041,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.983007399986187,9.983007399986187,1829.5568033854167,0.0,3,10,0.5,10,0.0,3,10,2
ogbn-arxiv,gat,ours_adaptive,0.95,0.6213471094767252,0.0014783646552537861,86393.0,4548.0,43196.0,43196.0,126533.66666666667,0.06598543352406468,0.1530079945673982,2.9292912924036174,1.0030731586151498,0.5267267347502702,8.952317999986311,16.5154886667151,25.46780666670141,1907.9666341145833,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,gat,inverse_adaptive,0.95,0.6174241701761881,0.0013910534060723938,86393.0,4548.0,43196.0,43196.0,171935.33333333334,0.058827030174019364,0.1701237768929222,3.980353119115968,1.3629868036507962,0.7157236187310877,8.710364333353937,17.376549100037664,26.0869134333916,1997.4012044270833,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,gat,global_active_knn,0.95,0.6284180084864298,0.0013335164599842426,86393.0,4548.0,43196.0,43196.0,995315.3333333334,0.028820281787945847,0.420995771213384,23.041840293854367,7.890185446493216,4.14325352743087,51.10200356668793,35.03932546668997,86.14132903337789,4349.5966796875,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,gat,cluster_active_knn,0.95,0.6219712297121683,0.0010356275981899226,86393.0,4548.0,43196.0,43196.0,1010503.3333333334,0.022097183377408684,0.341914374787789,23.393446924097912,8.010585617723379,4.20649797303777,311.9170388000396,35.18130473334653,347.0983435333862,4394.58984375,0.8639682000502944,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,gat,gat_llm_sparse,0.95,0.5637855132420858,0.004944144254988922,86393.0,4548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.85305430002821,52.85305430002821,7440.360514322917,0.0,3,10,0.5,10,0.0,40,10,2
