dataset,backbone,strategy,node_drop_rate,accuracy,std,dropped_nodes_mean,observed_train_nodes_mean,sampled_recovered_nodes_mean,successful_recovered_nodes_mean,semantic_added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,added_edges_per_active_node_mean,added_edges_over_sparse_edges_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,cluster_time_sec_mean,num_runs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha,cluster_count,support_size,support_internal_edges
Cora,gcn,ours_adaptive,0.95,0.7366666992505392,0.01643842230894607,127.0,13.0,63.0,63.0,215.66666666666666,0.14815976645562265,0.38095238095238093,3.4232804232804237,0.08156833081190117,0.04534933004281516,0.012929233334337672,0.8467849333149692,0.8597141666493068,50.400553385416664,0.0,3,10,0.5,10,0.0,7,10,2
Cora,gcn,inverse_adaptive,0.95,0.7410000363985697,0.019646897743929918,127.0,13.0,63.0,63.0,229.0,0.1395245403629104,0.38095238095238093,3.634920634920635,0.08661119515885024,0.04815288042956258,0.010407233377918601,0.8836257666504631,0.8940330000283817,50.75830078125,0.0,3,10,0.5,10,0.0,7,10,2
Cora,gcn,global_active_knn,0.95,0.7343333760897318,0.007845734303475523,127.0,13.0,63.0,63.0,19946.666666666668,0.0032253563228148117,0.6031746031746031,316.6137566137566,7.544125063035804,4.194294521187802,0.16042586664358774,1.0353625666660566,1.1957884333096445,108.47819010416667,0.0,3,10,0.5,10,0.0,7,10,2
Cora,gcn,cluster_active_knn,0.95,0.7220000227292379,0.005656837615536168,127.0,13.0,63.0,63.0,20290.666666666668,0.002596985041508787,0.4708994708994709,322.0740740740741,7.67423096318709,4.266628374420772,1.870229799921314,1.0181560333197315,2.8883858332410455,110.15169270833333,0.838135466678068,3,10,0.5,10,0.0,7,10,2
Cora,gcn,gcn_llm_sparse,0.95,0.5666667024294535,0.040540793186984406,127.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2536874334327877,1.2536874334327877,51.5830078125,0.0,3,10,0.5,10,0.0,7,10,2
PubMed,gcn,ours_adaptive,0.95,0.7743333578109741,0.017745110311392562,57.0,3.0,28.0,28.0,106.66666666666667,0.08738482585834612,0.2976190476190476,3.8095238095238098,0.005417851821752674,0.002420225010839168,0.04913439989710847,2.560810200016325,2.609944599913433,268.0458984375,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,gcn,inverse_adaptive,0.95,0.7773333787918091,0.015520615141370882,57.0,3.0,28.0,28.0,107.0,0.0871252204585538,0.2976190476190476,3.8214285714285716,0.005434782608695653,0.002427788735217051,0.04543509994012614,2.604718800013264,2.65015389995339,268.0465494791667,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,gcn,global_active_knn,0.95,0.7636667092641195,0.014522023532135444,57.0,3.0,28.0,28.0,147124.66666666666,0.0001268762544718206,0.5,5254.452380952381,7.472809156169578,3.3382040660508703,2.2843184000036367,5.647938800044358,7.932257200047995,702.7233072916666,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,gcn,cluster_active_knn,0.95,0.7616667151451111,0.02479695793340575,57.0,3.0,28.0,28.0,148405.33333333334,0.00012805304520791645,0.48809523809523814,5300.190476190476,7.537857239604496,3.367262168524464,102.21128123331194,5.691826399959003,107.90310763327095,705.7047526041666,0.15759223334801695,3,10,0.5,10,0.0,3,10,2
PubMed,gcn,gcn_llm_sparse,0.95,0.4610000153382619,0.08917773289565195,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4515284000275037,2.4515284000275037,303.8229166666667,0.0,3,10,0.5,10,0.0,3,10,2
ogbn-arxiv,gcn,ours_adaptive,0.95,0.6191593209902445,0.0006599046862810893,86393.0,4548.0,43196.0,43196.0,126533.66666666667,0.06598543352406468,0.1530079945673982,2.9292912924036174,1.0030731586151498,0.5267267347502702,8.981333900010213,17.580431600101292,26.561765500111505,1908.3839518229167,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,gcn,inverse_adaptive,0.95,0.6211002071698507,0.0020674913296750883,86393.0,4548.0,43196.0,43196.0,171935.33333333334,0.058827030174019364,0.1701237768929222,3.980353119115968,1.3629868036507962,0.7157236187310877,10.757481233294433,18.150915400047477,28.90839663334191,1998.64404296875,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,gcn,global_active_knn,0.95,0.6309830149014791,0.0026974448310508226,86393.0,4548.0,43196.0,43196.0,995315.3333333334,0.028820281787945847,0.420995771213384,23.041840293854367,7.890185446493216,4.14325352743087,70.25611483336736,35.92650313333919,106.18261796670656,4349.5966796875,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,gcn,cluster_active_knn,0.95,0.6216968695322672,0.0014960162943567295,86393.0,4548.0,43196.0,43196.0,1010503.3333333334,0.022097183377408684,0.341914374787789,23.393446924097912,8.010585617723379,4.20649797303777,330.610205533371,36.24414716668738,366.85435270005837,4394.58984375,1.1870828999672085,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,gcn,gcn_llm_sparse,0.95,0.5529837012290955,0.00686909269639035,86393.0,4548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68113789986819,10.68113789986819,1445.9454752604167,0.0,3,10,0.5,10,0.0,40,10,2
