dataset,backbone,mode,node_drop_rate,accuracy,std,dropped_train_nodes_mean,observed_train_nodes_mean,sampled_recovered_train_nodes_mean,successful_recovered_train_nodes_mean,train_nodes_mean,sparse_edges_mean,added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,num_runs,num_epochs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha
Cora,sage,Sparse LLM,0.95,0.5403333604335785,0.06269681286900605,127.0,13.0,63.0,0.0,13.0,4755.666666666667,0.0,0.0,0.0,0.0,0.0,0.8997003000695258,0.8997003000695258,50.083170572916664,3,300,10,0.5,10,0.0
Cora,sage,"Semantic Edges, No Recovered Labels",0.95,0.5633333623409271,0.061559356812750925,127.0,13.0,63.0,63.0,13.0,4755.666666666667,215.66666666666666,0.14815976645562265,0.38095238095238093,3.4232804232804237,0.01143689996873339,0.848202733322978,0.8596396332917114,50.566569010416664,3,300,10,0.5,10,0.0
Cora,sage,"Recovered Labels, No Edges",0.95,0.7313333749771118,0.008498357751314727,127.0,13.0,63.0,63.0,76.0,4755.666666666667,0.0,0.0,0.0,0.0,0.0,0.8234504000283778,0.8234504000283778,50.138509114583336,3,300,10,0.5,10,0.0
Cora,sage,"Recovered Labels, Random Edges",0.95,0.6786666909853617,0.005436516206319581,127.0,13.0,63.0,63.0,76.0,4755.666666666667,215.66666666666666,0.0015290519877675841,0.005291005291005291,3.4232804232804237,0.0029893333557993174,0.8199683000178387,0.822957633373638,50.566569010416664,3,300,10,0.5,10,0.0
Cora,sage,Ours: Recovered Labels + LLM Semantic Edges,0.95,0.7366666992505392,0.01643842230894607,127.0,13.0,63.0,63.0,76.0,4755.666666666667,215.66666666666666,0.14815976645562265,0.38095238095238093,3.4232804232804237,0.01143689996873339,0.7790760665666312,0.7905129665353646,50.566569010416664,3,300,10,0.5,10,0.0
Cora,sage,"Recovered Labels, Oracle Original Edges",0.95,0.7606667081514994,0.00754245952001456,127.0,13.0,63.0,63.0,76.0,4755.666666666667,235.66666666666666,1.0,0.9947089947089948,3.7407407407407405,0.055195633322000504,0.7793231667019427,0.8345188000239432,50.606282552083336,3,300,10,0.5,10,0.0
PubMed,sage,Sparse LLM,0.95,0.4723333517710368,0.09738014139877577,57.0,3.0,28.0,0.0,3.0,44073.0,0.0,0.0,0.0,0.0,0.0,2.493805699981749,2.493805699981749,266.5074869791667,3,300,10,0.5,10,0.0
PubMed,sage,"Semantic Edges, No Recovered Labels",0.95,0.4656666914621989,0.09703037392805831,57.0,3.0,28.0,28.0,3.0,44073.0,106.66666666666667,0.08738482585834612,0.2976190476190476,3.8095238095238098,0.0518036667102327,2.4389555000234395,2.4907591667336724,266.7190755208333,3,300,10,0.5,10,0.0
PubMed,sage,"Recovered Labels, No Edges",0.95,0.7580000162124634,0.03353605097482757,57.0,3.0,28.0,28.0,31.0,44073.0,0.0,0.0,0.0,0.0,0.0,2.409115933269883,2.409115933269883,266.5074869791667,3,300,10,0.5,10,0.0
PubMed,sage,"Recovered Labels, Random Edges",0.95,0.7190000216166178,0.03894442379676744,57.0,3.0,28.0,28.0,31.0,44073.0,106.66666666666667,0.0,0.0,3.8095238095238098,0.0320126999480029,2.4145261333324015,2.4465388332804046,266.7190755208333,3,300,10,0.5,10,0.0
PubMed,sage,Ours: Recovered Labels + LLM Semantic Edges,0.95,0.7743333578109741,0.017745110311392562,57.0,3.0,28.0,28.0,31.0,44073.0,106.66666666666667,0.08738482585834612,0.2976190476190476,3.8095238095238098,0.0518036667102327,2.4156586999694505,2.4674623666796833,266.7190755208333,3,300,10,0.5,10,0.0
