dataset,backbone,mode,node_drop_rate,accuracy,std,dropped_train_nodes_mean,observed_train_nodes_mean,sampled_recovered_train_nodes_mean,successful_recovered_train_nodes_mean,train_nodes_mean,sparse_edges_mean,added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,num_runs,num_epochs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha,edge_scorer_epochs,edge_scorer_hidden_dim,edge_scorer_prescreen_k,original_graph_mlp_threshold
Cora,sage,"Recovered Labels, No Edges",0.95,0.7330000400543213,0.008164958022559074,127.0,13.0,63.0,63.0,76.0,4755.666666666667,0.0,0.0,0.0,0.0,0.0,0.970769533344234,0.970769533344234,49.980794270833336,3,300,10,0.5,10,0.0,100,32,100,0.6
Cora,sage,"Recovered Labels, Original-Graph MLP Edges",0.95,0.6790000200271606,0.026733256819214832,127.0,13.0,63.0,63.0,76.0,4755.666666666667,215.66666666666666,0.020078961356105984,0.06878306878306878,3.4232804232804237,0.39952353325982887,0.8469453333721807,1.2464688666320096,50.408854166666664,3,300,10,0.5,10,0.0,100,32,100,0.6
Cora,sage,Ours: Recovered Labels + LLM Semantic Edges,0.95,0.7446666955947876,0.013597393443097261,127.0,13.0,63.0,63.0,76.0,4755.666666666667,215.66666666666666,0.14815976645562265,0.38095238095238093,3.4232804232804237,0.012849999979759255,0.8481893665933361,0.8610393665730953,50.408854166666664,3,300,10,0.5,10,0.0,100,32,100,0.6
Cora,sage,"Recovered Labels, Oracle Original Edges",0.95,0.7606667081514994,0.00754245952001456,127.0,13.0,63.0,63.0,76.0,4755.666666666667,235.66666666666666,1.0,0.9947089947089948,3.7407407407407405,0.061166900054862104,0.8448899666157862,0.9060568666706482,50.448567708333336,3,300,10,0.5,10,0.0,100,32,100,0.6
PubMed,sage,"Recovered Labels, No Edges",0.95,0.7580000162124634,0.03353605097482757,57.0,3.0,28.0,28.0,31.0,44073.0,0.0,0.0,0.0,0.0,0.0,2.441734633175656,2.441734633175656,266.5771484375,3,300,10,0.5,10,0.0,100,32,100,0.6
PubMed,sage,"Recovered Labels, Original-Graph MLP Edges",0.95,0.7156667113304138,0.06681484888046016,57.0,3.0,28.0,28.0,31.0,44073.0,106.66666666666667,0.003174603174603175,0.011904761904761904,3.8095238095238098,1.6169151332384597,2.4399141667721174,4.056829300010577,266.7822265625,3,300,10,0.5,10,0.0,100,32,100,0.6
PubMed,sage,Ours: Recovered Labels + LLM Semantic Edges,0.95,0.7743333578109741,0.017745110311392562,57.0,3.0,28.0,28.0,31.0,44073.0,106.66666666666667,0.08738482585834612,0.2976190476190476,3.8095238095238098,0.08324529983413716,2.430026700021699,2.5132719998558364,266.7822265625,3,300,10,0.5,10,0.0,100,32,100,0.6
PubMed,sage,"Recovered Labels, Oracle Original Edges",0.95,0.780666708946228,0.01554205355193412,57.0,3.0,28.0,28.0,31.0,44073.0,111.66666666666667,1.0,1.0,3.9880952380952386,1.779808066630115,2.4500805667291083,4.229888633359224,266.7916666666667,3,300,10,0.5,10,0.0,100,32,100,0.6
ogbn-arxiv,sage,"Recovered Labels, No Edges",0.95,0.6284385720888773,0.002179448454736336,86393.0,4548.0,43196.0,43196.0,47744.0,240250.33333333334,0.0,0.0,0.0,0.0,0.0,14.569023666670546,14.569023666670546,1657.3863932291667,3,300,10,0.5,10,0.0,100,32,100,0.6
ogbn-arxiv,sage,"Recovered Labels, Original-Graph MLP Edges",0.95,0.6188918352127075,0.00014645653259989935,86393.0,4548.0,43196.0,43196.0,47744.0,240250.33333333334,126533.66666666667,0.0001501735693071326,0.0004321387782819397,2.9292912924036174,458.9941602999655,16.714232533316437,475.70839283328195,1907.7579752604167,3,300,10,0.5,10,0.0,100,32,100,0.6
ogbn-arxiv,sage,Ours: Recovered Labels + LLM Semantic Edges,0.95,0.6195571025212606,0.0015818275506772697,86393.0,4548.0,43196.0,43196.0,47744.0,240250.33333333334,126533.66666666667,0.06598543352406468,0.1530079945673982,2.9292912924036174,18.843318866643433,17.430239133381594,36.27355800002503,1907.7579752604167,3,300,10,0.5,10,0.0,100,32,100,0.6
ogbn-arxiv,sage,"Recovered Labels, Oracle Original Edges",0.95,0.6238503853480021,0.004031462107664539,86393.0,4548.0,43196.0,43196.0,47744.0,240250.33333333334,371591.0,1.0,0.9063339198073895,8.602440040744513,15.196286900046593,18.155757366757218,33.35204426680381,2026.56689453125,3,300,10,0.5,10,0.0,100,32,100,0.6
