"dataset","drop_rate","model","accuracy","std","node_drop_rate","original_edges","sparse_edges_mean","dropped_nodes_mean","train_nodes_mean","observed_train_nodes_mean","sampled_recovered_nodes_mean","successful_recovered_nodes_mean","recovery_edges_mean","splits","num_runs","k_neighbors","beta","recovery_ratio","repair_policy","similarity_threshold","adaptive_threshold_alpha","max_edges_per_recovered_node","source_file"
"CORA","0.0","MLP (Raw)","0.43900002042452496","0.027580187268547163","0.75","10556","9724.0","100.0","40.0","40.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/main_multiseed_adaptive_all_models_20260522.csv"
"CORA","0.0","MLP (LLM)","0.5833333532015482","0.008379863332823543","0.75","10556","9724.0","100.0","40.0","40.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/main_multiseed_adaptive_all_models_20260522.csv"
"CORA","0.0","GCN (Raw, Sparse)","0.7320000330607096","0.015513437660524794","0.75","10556","9724.0","100.0","40.0","40.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/main_multiseed_adaptive_all_models_20260522.csv"
"CORA","0.0","GCN (LLM, Sparse)","0.7250000437100729","0.0177200569509619","0.75","10556","9724.0","100.0","40.0","40.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/main_multiseed_adaptive_all_models_20260522.csv"
"CORA","0.0","GAT (Raw, Sparse)","0.7113333741823832","0.023456799277997","0.75","10556","9724.0","100.0","40.0","40.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/cora_single_pilot_drop0_node75_20260523_205310.csv"
"CORA","0.0","GAT (LLM, Sparse)","0.7306666970252991","0.0286744387130479","0.75","10556","9724.0","100.0","40.0","40.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/cora_single_pilot_drop0_node75_20260523_205310.csv"
"CORA","0.0","GraphSAGE (Raw, Sparse)","0.6650000413258871","0.008640977517751565","0.75","10556","9724.0","100.0","40.0","40.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/cora_single_pilot_drop0_node75_20260524_223158.csv"
"CORA","0.0","GraphSAGE (LLM, Sparse)","0.7050000230471293","0.016673347319952916","0.75","10556","9724.0","100.0","40.0","40.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/cora_single_pilot_drop0_node75_20260524_223158.csv"
"CORA","0.0","Ours-GCN","0.7730000416437784","0.019252707303393377","0.75","10556","9724.0","100.0","90.0","40.0","50.0","50.0","174.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/main_multiseed_adaptive_all_models_20260522.csv"
"CORA","0.0","Ours-GAT","0.7696667114893595","0.021853034121950693","0.75","10556","9724.0","100.0","90.0","40.0","50.0","50.0","174.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/cora_single_pilot_drop0_node75_20260524_224838.csv"
"CORA","0.0","Ours-GraphSAGE","0.7460000316301981","0.02940522961632108","0.75","10556","9724.0","100.0","90.0","40.0","50.0","50.0","174.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/cora_single_pilot_drop0_node75_20260524_224838.csv"
"CORA","0.0","MLP (Raw)","0.3666666845480601","0.004496918688875418","0.85","10556","9640.0","113.0","27.0","27.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/main_multiseed_adaptive_all_models_20260522.csv"
"CORA","0.0","MLP (LLM)","0.5163333614667257","0.02639865046689947","0.85","10556","9640.0","113.0","27.0","27.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/main_multiseed_adaptive_all_models_20260522.csv"
"CORA","0.0","GCN (Raw, Sparse)","0.6726667086283366","0.020401533068814814","0.85","10556","9640.0","113.0","27.0","27.0","0.0","0.0","0.0","0","3","10","0.5","0.5","adaptive","0.6","0.0","10","logs/main_multiseed_adaptive_all_models_20260522.csv"
